@RELATION devices

@ATTRIBUTE "status" {"Available","Cancelled","Coming","Discontinued"}
@ATTRIBUTE "OS" {"Android","Android Wear OS","Chrome OS","MagicOS","Microsoft Windows","Microsoft Windows Phone","Proprietary OS","iOS","iPadOS","watchOS"}
@ATTRIBUTE "Chipset" {"Allwinner","Apple","Exynos","Intel","Mediatek","Qualcomm","Rockchip"}
@ATTRIBUTE "SIM" {"Hybrid","Micro","Mini","Nano","No","Single","Triple","Yes","eSIM"}
@ATTRIBUTE "Cardslot" {"No","Unspecified","microSDHC","microSDXC"}
@ATTRIBUTE "CPU" {"10-core","5-core","8-core","9-core","Dual-core","Hexa-core","Octa-core","Penta-core","Quad-core","Unknown"}
@ATTRIBUTE "GPU" {"Adreno","Apple","Arm","IMG","Immortalis-G720","Immortalis-G925","Intel","Mali","Mali-400","Mali-400MP2","Mali-450MP4","Mali-G52","Mali-G57","Mali-G615","Mali-G68","Mali-G720","Mali-T720","Mali-T720MP2","Mali-T720MP3","Mali-T720MP4","Mali-T760MP2","PowerVR","Unknown","Xclipse"}
@ATTRIBUTE "Display" {"AMOLED","Dynamic AMOLED 2X","Dynamic LTPO AMOLED 2X","Foldable Dynamic LTPO AMOLED 2X","Foldable LTPO AMOLED","Foldable LTPO OLED","IPS LCD","LED-backlit IPS LCD","LTPO AMOLED","LTPO AMOLED 2X","LTPO OLED","LTPO Super Retina XDR OLED","Liquid Retina IPS LCD","Liquid Retina XDR mini-LED LCD","OLED","PLS LCD","Retina IPS LCD","Retina LTPO OLED","Retina LTPO2 OLED","Retina LTPO3 OLED","Super AMOLED","Super AMOLED+","Super Retina XDR OLED","TFT","TFT LCD","Tri-foldable Dynamic LTPO AMOLED 2X","Ultra Retina Tandem OLED"}
@ATTRIBUTE "price[EUR]" NUMERIC
@ATTRIBUTE "weight[g]" NUMERIC
@ATTRIBUTE "length[mm]" NUMERIC
@ATTRIBUTE "width[mm]" NUMERIC
@ATTRIBUTE "thikness[mm]" NUMERIC
@ATTRIBUTE "Internal memory[GB]" NUMERIC
@ATTRIBUTE "Internal memory RAM[GB]" NUMERIC
@ATTRIBUTE "Video[fps]" NUMERIC
@ATTRIBUTE "Battery Type[mAh]" NUMERIC
@ATTRIBUTE "Announced" STRING

@DATA
"Available","Android","Mediatek","No","microSDXC","Octa-core","Mali-G57","IPS LCD",290,595,?,?,7.9,256,8,30,8000,"2025-05-16"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","IPS LCD",230,500,?,?,7.9,256,8,30,8000,"2025-05-16"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","IPS LCD",?,202.8,171.0,77.8,8.9,128,8,?,5000,"2025-10-22"
"Available","Android","Allwinner","No","microSDXC","Octa-core","IMG","IPS LCD",260,910,324.6,211.0,8.0,256,8,30,8000,"2025-09-03"
"Available","Android","Allwinner","No","microSDXC","Octa-core","IMG","IPS LCD",300,980,369.5,240.2,8.9,256,8,30,8000,"2025-09-03"
"Available","Android","Allwinner","No","microSDXC","Octa-core","IMG","OLED",310,910,324.6,211.0,8.0,256,8,30,8000,"2025-09-03"
"Available","Android","Mediatek","No","microSDXC","Octa-core","Mali-G57","AMOLED",280,500,286.2,184.4,6.5,256,8,30,8000,"2025-09-03"
"Available","Android","Mediatek","No","microSDXC","Octa-core","Mali-G57","IPS LCD",260,550,265.2,169.9,8.1,256,6,30,8000,"2025-10-01"
"Available","Android","Mediatek","No","microSDXC","Octa-core","Mali-G57","IPS LCD",220,495,?,?,8.1,128,6,30,8000,"2025-10-01"
"Cancelled","Android","Mediatek","Nano","Unspecified","Octa-core","Mali-G615","AMOLED",190,182,?,?,?,128,6,30,5000,"2025-05-26"
"Available","Android","Mediatek","Nano","Unspecified","Octa-core","Mali-G57","IPS LCD",114.39,200,?,?,8.6,128,4,?,5000,"2025-05-26"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","PowerVR","IPS LCD",?,200,171.0,78.6,8.9,64,4,?,5000,"2025-03-25"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","PowerVR","IPS LCD",?,210,165.4,76.9,9.0,64,4,?,5000,"2025-03-25"
"Discontinued","Chrome OS","Rockchip","No","microSDXC","Hexa-core","Unknown","IPS LCD",330,544.3,238.3,172.2,9.9,32,4,?,4500,"2018-03-01"
"Discontinued","Android","Mediatek","Nano","microSDXC","Quad-core","Mali-T720MP2","IPS LCD",170,260,191.7,101.0,9.4,16,2,30,3400,"2016-08-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Octa-core","Mali-T720MP3","IPS LCD",250,169,153.8,75.6,8.5,32,3,30,4080,"2016-08-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Quad-core","Mali-T720MP2","IPS LCD",120,126,145.5,72.5,8.5,8,1,?,2000,"2016-08-01"
"Discontinued","Android","Mediatek","No","microSDXC","Quad-core","Mali-T720","IPS LCD",230,?,259.0,167.0,8.9,16,2,30,6100,"2016-04-01"
"Discontinued","Android","Mediatek","Triple","microSDHC","Octa-core","Mali-T720MP4","IPS LCD",230,166,153.3,78.8,8.5,32,3,30,4020,"2015-04-01"
"Discontinued","Android","Qualcomm","Nano","microSDXC","Hexa-core","Adreno","Super AMOLED",?,150,156.6,75.9,8.4,32,3,30,3000,"2016-02-01"
"Discontinued","Microsoft Windows","Qualcomm","Single","microSDXC","Quad-core","Adreno","IPS LCD",?,142,136.0,66.5,9.6,8,1,?,2000,"2015-09-01"
"Discontinued","Android","Mediatek","Nano","microSDHC","Quad-core","Mali-T760MP2","IPS LCD",200,110,143.5,69.8,8.0,8,1,30,2300,"2015-03-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Quad-core","Mali-T720MP2","IPS LCD",150,145,144.0,70.3,8.9,8,1,?,2420,"2015-09-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Octa-core","Mali-T720MP3","IPS LCD",?,165,156.3,77.5,8.9,32,3,30,4000,"2015-09-01"
"Discontinued","Android",?,"Mini","microSDHC","Quad-core","Unknown","TFT",110,298,?,?,8.9,16,1,?,3400,"2014-04-01"
"Discontinued","Android","Mediatek","Single","microSDHC","Dual-core","Mali-400","TFT",90,130,126.0,65.0,10.3,4,?,?,1300,"2014-06-01"
"Discontinued","Android","Qualcomm","Micro","microSDHC","Quad-core","Adreno","IPS LCD",200,155,147.0,72.0,9.5,4,1,?,2500,"2014-06-01"
"Discontinued","Android","Qualcomm","Single","microSDHC","Dual-core","Adreno","IPS LCD",90,120,125.3,64.0,9.6,8,1,30,1300,"2015-03-01"
"Discontinued","Android","Qualcomm","Single","microSDXC","Quad-core","Adreno","IPS LCD",110,142,136.0,66.5,9.6,8,1,?,2000,"2015-09-01"
"Discontinued","Android","Mediatek","No","microSDXC","Quad-core","Mali-450MP4","LED-backlit IPS LCD",190,508,256.5,170.2,10.2,16,1,?,5910,"2014-10-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Octa-core","Mali-T720MP3","IPS LCD",?,145,144.0,70.3,8.9,32,3,?,2420,"2015-09-01"
"Discontinued","Microsoft Windows Phone","Qualcomm","Single","microSDHC","Dual-core","Adreno","TFT",80,119,124.9,64.0,9.6,4,1,?,1300,"2015-03-01"
"Discontinued","Microsoft Windows","Qualcomm","Single","microSDXC","Quad-core","Adreno","IPS LCD",?,142,136.0,66.5,9.6,8,1,?,2000,"2015-09-01"
"Discontinued","Microsoft Windows","Qualcomm","Nano","microSDXC","Hexa-core","Adreno","AMOLED",220,150,156.5,75.9,8.4,32,3,30,2870,"2015-09-01"
"Discontinued","Android","Mediatek","Single","microSDHC","Quad-core","Mali-400MP2","TFT",130,118,154.0,86.0,6.4,8,1,30,2000,"2015-03-01"
"Discontinued","Android","Mediatek","Triple","microSDHC","Quad-core","Mali-400MP2","IPS LCD",200,155,147.3,73.0,9.9,4,1,30,3500,"2014-06-01"
"Discontinued","Android","Intel","No","microSDHC","Quad-core","Intel","IPS LCD",200,360,215.0,130.0,8.5,16,2,?,4600,"2014-06-01"
"Discontinued","Android","Qualcomm","Single","microSDXC","Quad-core","Adreno","IPS LCD",90,142,136.0,66.5,9.6,8,1,?,2000,"2015-09-01"
"Discontinued","Android","Mediatek","Single","microSDHC","Quad-core","Mali-400MP2","IPS LCD",150,150,145.0,73.0,8.8,4,1,30,2000,"2014-09-01"
"Discontinued","Android","Mediatek","Single","microSDHC","Quad-core","Mali-T760MP2","IPS LCD",130,145,136.0,66.7,9.9,8,1,?,2000,"2015-01-01"
"Discontinued","Android","Mediatek","Nano","microSDHC","Octa-core","Mali-T760MP2","IPS LCD",200,116,143.0,69.0,7.8,16,2,30,2300,"2014-12-01"
"Discontinued","Android","Intel","No","microSDHC","Quad-core","Unknown","IPS LCD",180,355,213.9,127.7,9.5,16,1,30,4550,"2015-04-01"
"Discontinued","Android","Intel","No","microSDXC","Quad-core","Unknown","IPS LCD",350,353.8,217.9,127.0,8.6,32,2,30,4420,"2015-09-01"
"Discontinued","Android","Mediatek","Hybrid","microSDHC","Quad-core","Mali-400MP2","IPS LCD",180,110,140.5,69.0,7.5,8,1,30,2100,"2014-06-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Quad-core","Mali-T720MP2","IPS LCD",200,?,154.0,77.0,10.0,16,2,30,5000,"2016-04-01"
"Discontinued","Android","Mediatek","Single","microSDXC","Quad-core","Mali-T720MP2","IPS LCD",200,165,156.3,77.5,8.9,8,1,?,4000,"2015-09-01"
"Discontinued","Android","Mediatek","No","microSDXC","Quad-core","Mali-450MP4","LED-backlit IPS LCD",230,508,256.5,170.2,10.2,32,2,?,5910,"2014-10-01"
"Discontinued","Android","Mediatek","Micro","microSDHC","Octa-core","Mali-450MP4","IPS LCD",260,164,153.3,80.4,8.5,16,2,30,2700,"2014-06-01"
"Discontinued","Android","Intel","No","microSDXC","Quad-core","Unknown","LED-backlit IPS LCD",250,540,260.0,176.0,9.7,16,2,30,5910,"2015-04-01"
"Discontinued","Android","Mediatek","Single","microSDHC","Quad-core","Mali-400MP2","IPS LCD",110,125,145.7,71.2,8.4,8,1,30,2000,"2016-02-01"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","TFT LCD",321.99,524,254.3,165.8,6.6,128,6,30,8000,"2025-08-25"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Xclipse","IPS LCD",432.39,497,254.3,165.8,6.0,128,8,30,8000,"2025-04-02"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","Super AMOLED",116.98,200,164.4,77.9,7.9,128,4,30,5000,"2024-10-15"
"Available","Android","Qualcomm","Nano","microSDXC","Octa-core","Adreno","PLS LCD",427.99,240,168.6,79.9,10.2,128,6,30,4350,"2025-04-14"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Super AMOLED",239.0,195,162.9,78.2,7.4,128,6,30,5000,"2025-03-02"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",104.49,191,167.4,77.4,8.0,64,4,30,5000,"2025-02-27"
"Available","Android","Exynos","Nano","No","10-core","Xclipse","Dynamic LTPO AMOLED 2X",495.0,190,161.3,76.6,7.4,128,8,?,4900,"2025-09-04"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Dynamic LTPO AMOLED 2X",885.0,218,162.8,77.6,8.2,256,12,?,5000,"2025-01-22"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Dynamic LTPO AMOLED 2X",747.0,190,158.4,75.8,7.3,256,12,?,4900,"2025-01-22"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",175.99,197,164.4,77.9,7.7,128,6,30,5000,"2025-06-27"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Immortalis-G720","Dynamic AMOLED 2X",1490.39,718,326.4,208.6,5.4,256,12,30,11200,"2024-09-26"
"Available","Android Wear OS","Exynos","eSIM","No","Penta-core","Mali-G68","Super AMOLED",255.5,63.5,46.4,46.0,10.6,64,2,?,445,"2025-07-09"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",200.91,197,164.4,77.9,7.7,128,6,30,5000,"2025-07-21"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","PLS LCD",98.99,195,168.8,78.2,8.8,64,4,?,5000,"2024-09-17"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Immortalis-G925","Dynamic AMOLED 2X",1103.99,692,326.3,208.5,5.1,128,12,30,11600,"2025-09-04"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G52","PLS LCD",90,195,168.8,78.2,8.8,64,4,?,5000,"2024-09-10"
"Available","Android","Qualcomm","Nano","No","8-core","Adreno","Foldable Dynamic LTPO AMOLED 2X",1870,236,157.9,142.6,4.9,512,16,30,4400,"2024-10-21"
"Available","Android","Qualcomm","Nano","microSDXC","Octa-core","Adreno","TFT LCD",900,680,242.9,170.2,10.2,128,6,30,10100,"2025-04-14"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",105.8,184,167.4,77.4,7.6,64,4,?,5000,"2025-08-25"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G615","TFT LCD",193.19,477,257.1,168.7,6.9,128,6,30,7040,"2025-09-29"
