status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
161,66,23,73,116,23,46,0.08822130506160147,0.5964360587002097,0.365284178187404,0.19287833827893175,0.380952380952381,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.046357615894039736,0
161,66,125,73,116,23,46,0.06520705156727066,0.4968553459119497,0.365284178187404,0.19287833827893175,0.380952380952381,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.046357615894039736,0
161,66,125,73,116,23,46,0.08822130506160147,0.18532494758909857,0.39016897081413204,0.19683481701285854,0.4761904761904762,0.2440944881889764,0.4666666666666667,0.0,0.3870330755306895,0.01324503311258278,0
161,3,23,73,116,5,46,0.07671417831443607,0.9266247379454927,0.8620583717357911,0.8555885262116717,0.3904761904761905,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.01986754966887417,0
161,3,23,73,116,5,46,0.09205701397732328,1.0000000000000002,1.0,1.0,0.4761904761904762,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.01986754966887417,0
161,3,23,73,116,5,1,0.09589272289304508,0.9266247379454927,0.8620583717357911,0.8555885262116717,0.3904761904761905,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.01986754966887417,0
161,66,23,73,116,23,22,0.08438559614587968,0.4968553459119497,0.7440860215053763,0.7240356083086055,0.24761904761904768,0.49606299212598426,0.4666666666666667,0.0,0.6338653941089354,0.01986754966887417,0
161,66,23,73,116,23,46,0.07671417831443607,0.549266247379455,0.6795698924731183,0.6523244312561821,0.39999999999999997,0.49606299212598426,0.33333333333333337,0.0,0.6338653941089354,0.01324503311258278,0
161,66,23,73,116,23,46,0.06137134265154885,0.4916142557651991,0.365284178187404,0.19287833827893175,0.39999999999999997,0.2440944881889764,0.33333333333333337,0.0,0.6338653941089354,0.01324503311258278,0
1,66,125,4,116,2,22,0.04986421590438345,0.16352201257861637,0.365284178187404,0.19287833827893175,0.3904761904761905,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.046357615894039736,0
161,66,125,4,116,23,46,0.02086242079261089,0.18238993710691825,0.365284178187404,0.19287833827893175,0.4476190476190475,0.2440944881889764,0.2,0.0,0.3870330755306895,0.046357615894039736,0
161,66,125,73,116,16,46,0.08822130506160147,0.18238993710691825,0.39016897081413204,0.20079129574678534,0.4761904761904762,0.11811023622047244,0.2,0.0,0.3870330755306895,0.059602649006622516,0
161,66,125,73,116,16,46,0.08822130506160147,0.1928721174004193,0.37296466973886333,0.19238377843719096,0.4857142857142857,0.11811023622047244,0.2,0.0,0.3870330755306895,0.059602649006622516,0
37,1,23,73,28,8,46,0.1035641407244887,0.5432914046121593,0.5969278033794163,0.6636993076162215,0.5714285714285714,0.05511811023622047,0.2,0.0,0.3458943557676485,0.4768211920529801,2
37,66,125,73,25,5,46,0.04219279807293984,0.24528301886792456,0.45376344086021503,0.31157270029673595,0.523809523809524,0.023622047244094488,0.06666666666666667,0.0,0.25538917228895835,0.6821192052980132,0
37,66,18,73,116,3,46,0.07287846939871427,0.149895178197065,0.33732718894009217,0.18595450049455986,0.43809523809523815,0.05511811023622047,0.13333333333333336,0.0,0.3113378311666941,0.6821192052980132,0
37,66,18,73,25,5,46,0.02301425349433082,0.10482180293501048,0.3118279569892473,0.17062314540059348,0.43809523809523815,0.007874015748031496,0.0,0.0,0.14020075695244363,0.6821192052980132,0
37,66,23,73,25,1,46,0.06520705156727066,0.17924528301886794,0.6605222734254992,0.6379821958456974,0.4761904761904762,0.023622047244094488,0.06666666666666667,0.0,0.4775382590093797,0.7086092715231788,0
37,66,2,17,116,1,46,0.06520705156727066,0.14675052410901468,0.33579109062980034,0.2017804154302671,0.43809523809523815,0.05511811023622047,0.13333333333333336,0.0,0.3064011847951292,0.847682119205298,0
37,53,125,73,28,53,16,0.08822130506160147,0.12997903563941302,0.3459293394777265,0.18743818001978246,0.42857142857142866,0.05511811023622047,0.13333333333333336,0.0,0.2224781964785256,0.7218543046357616,0
37,53,18,73,25,53,46,0.08822130506160147,0.12159329140461217,0.282642089093702,0.14094955489614247,0.5428571428571427,0.007874015748031496,0.0,0.0,0.14020075695244363,0.814569536423841,4
37,66,125,17,25,3,46,0.053699924820105244,0.08805031446540881,0.30568356374807987,0.1572700296735905,0.3904761904761905,0.007874015748031496,0.0,0.0,0.16488398881026822,0.8543046357615893,0
37,66,18,73,25,5,46,0.03452138024149623,0.12473794549266248,0.3072196620583717,0.15974282888229474,0.4761904761904762,0.007874015748031496,0.0,0.0,0.17475728155339806,0.814569536423841,0
37,66,18,73,116,3,46,0.08822130506160147,0.14570230607966458,0.3450076804915515,0.19535113748763605,0.4761904761904762,0.05511811023622047,0.13333333333333336,0.0,0.30475563600460753,0.814569536423841,0
37,4,1,17,25,8,4,0.019178544578609017,0.2851153039832285,0.365284178187404,0.19287833827893175,0.4761904761904762,0.023622047244094488,0.0,0.0,0.25538917228895835,1.0,0
37,66,18,17,16,1,4,0.011507126747165409,0.10901467505241091,0.2519201228878648,0.13353115727002968,0.6095238095238096,0.0,0.33333333333333337,0.0,0.08260654928418629,0.9867549668874172,0
